City,Price(P),Change(P),Price(D),Change(D)
Changlang,93.48 ₹/L,  0.00,82.83 ₹/L,  0.00
East Siang,92.40 ₹/L,- 0.32,81.82 ₹/L,- 0.29
Lohit,93.77 ₹/L,+ 0.29,83.08 ₹/L,+ 0.25
Lower Dibang Valley,93.69 ₹/L,  0.00,82.97 ₹/L,+ 0.03
Lower Subansiri,90.96 ₹/L,  0.00,80.49 ₹/L,- 0.14
Tawang,96.10 ₹/L,- 0.25,84.84 ₹/L,- 0.24
Tirap,93.43 ₹/L,  0.00,82.68 ₹/L,  0.00
Upper Siang,93.92 ₹/L,  0.00,83.23 ₹/L,  0.00
West Kameng,94.49 ₹/L,- 0.13,83.54 ₹/L,+ 0.04
West Siang,93.91 ₹/L,  0.00,83.01 ₹/L,  0.00
