City,Price(P),Change(P),Price(D),Change(D)
Changlang,93.48 ₹/L,  0.00,82.83 ₹/L,  0.00
East Siang,92.40 ₹/L,- 0.32,82.11 ₹/L,  0.00
Lohit,93.77 ₹/L,+ 0.29,82.83 ₹/L,  0.00
Lower Dibang Valley,93.61 ₹/L,  0.00,82.94 ₹/L,  0.00
Lower Subansiri,91.12 ₹/L,+ 0.16,80.63 ₹/L,+ 0.14
Tawang,96.10 ₹/L,- 0.25,84.84 ₹/L,- 0.24
Tirap,93.43 ₹/L,  0.00,82.68 ₹/L,  0.00
Upper Siang,93.92 ₹/L,  0.00,83.23 ₹/L,  0.00
West Kameng,94.49 ₹/L,- 0.13,83.54 ₹/L,+ 0.04
West Siang,93.91 ₹/L,  0.00,83.01 ₹/L,  0.00
