City,Price(P),Change(P),Price(D),Change(D)
Ahmadnagar,104.44 ₹/L,  0.00,90.96 ₹/L,  0.00
Akola,104.05 ₹/L,- 0.11,90.72 ₹/L,  0.00
Amravati,105.05 ₹/L,+ 0.31,91.28 ₹/L,  0.00
Aurangabad,105.26 ₹/L,- 1.03,93.45 ₹/L,+ 0.37
Bhandara,105.02 ₹/L,  0.00,91.46 ₹/L,- 0.09
Buldhana,105.32 ₹/L,+ 0.44,91.84 ₹/L,+ 0.43
Chandrapur,104.34 ₹/L,+ 0.26,90.90 ₹/L,+ 0.24
Dhule,103.90 ₹/L,  0.00,90.45 ₹/L,  0.00
Gadchiroli,105.16 ₹/L,+ 0.22,91.48 ₹/L,  0.00
Gondia,105.59 ₹/L,+ 0.15,91.95 ₹/L,  0.00
Greater Mumbai,104.39 ₹/L,  0.00,92.32 ₹/L,  0.00
Hingoli,105.10 ₹/L,  0.00,91.51 ₹/L,- 0.12
Jalgaon,105.14 ₹/L,  0.00,91.66 ₹/L,+ 0.02
Jalna,105.63 ₹/L,- 0.11,92.10 ₹/L,- 0.11
Kolhapur,104.67 ₹/L,+ 0.28,91.21 ₹/L,+ 0.27
Latur,104.78 ₹/L,- 0.51,91.30 ₹/L,- 0.50
Mumbai City,104.21 ₹/L,  0.00,92.15 ₹/L,  0.00
Nagpur,103.98 ₹/L,  0.00,90.55 ₹/L,+ 0.01
Nanded,105.81 ₹/L,  0.00,92.62 ₹/L,+ 0.31
Nandurbar,105.17 ₹/L,  0.00,91.67 ₹/L,  0.00
Nashik,104.40 ₹/L,  0.00,90.92 ₹/L,  0.00
Osmanabad,104.83 ₹/L,- 0.45,91.36 ₹/L,- 0.43
Palghar,103.86 ₹/L,- 0.11,90.37 ₹/L,- 0.11
Parbhani,105.94 ₹/L,- 1.45,92.42 ₹/L,- 1.37
Pune,103.88 ₹/L,  0.00,91.04 ₹/L,+ 0.63
Raigarh,100.65 ₹/L,  0.00,93.59 ₹/L,  0.00
Ratnagiri,105.52 ₹/L,  0.00,92.26 ₹/L,+ 0.30
Sangli,104.48 ₹/L,  0.00,91.02 ₹/L,  0.00
Satara,104.39 ₹/L,  0.00,90.90 ₹/L,  0.00
Sindhudurg,105.92 ₹/L,  0.00,92.41 ₹/L,  0.00
Solapur,104.83 ₹/L,+ 0.71,91.36 ₹/L,+ 0.69
Thane,104.31 ₹/L,+ 0.52,90.80 ₹/L,+ 0.49
Wardha,104.44 ₹/L,  0.00,91.28 ₹/L,+ 0.29
Washim,104.87 ₹/L,  0.00,91.52 ₹/L,+ 0.12
Yavatmal,104.95 ₹/L,  0.00,91.73 ₹/L,+ 0.25
