City,Price(P),Change(P),Price(D),Change(D)
Anantapur,108.98 ₹/L,  0.00,96.87 ₹/L,  0.00
Chittoor,109.78 ₹/L,  0.00,97.55 ₹/L,  0.00
Cuddapah,109.12 ₹/L,  0.00,96.97 ₹/L,  0.00
East Godavari,108.85 ₹/L,  0.00,96.73 ₹/L,  0.00
Guntur,109.31 ₹/L,- 0.27,97.17 ₹/L,- 0.25
Krishna,110.24 ₹/L,+ 1.04,98.04 ₹/L,+ 0.97
Kurnool,109.12 ₹/L,- 0.73,96.99 ₹/L,- 0.68
Nellore,110.17 ₹/L,- 0.49,97.92 ₹/L,- 0.45
Prakasam,109.64 ₹/L,  0.00,97.45 ₹/L,  0.00
Srikakulam,109.42 ₹/L,  0.00,97.22 ₹/L,  0.00
Vishakhapatnam,108.29 ₹/L,  0.00,96.17 ₹/L,  0.00
Vizianagaram,108.74 ₹/L,+ 0.05,96.59 ₹/L,+ 0.04
West Godavari,109.96 ₹/L,+ 0.32,97.75 ₹/L,+ 0.29
