City,Price(P),Change(P),Price(D),Change(D)
Anantapur,109.56 ₹/L,+ 0.58,97.40 ₹/L,  0.00
Chittoor,109.78 ₹/L,  0.00,97.55 ₹/L,  0.00
Cuddapah,109.12 ₹/L,  0.00,96.97 ₹/L,  0.00
East Godavari,108.85 ₹/L,- 0.25,96.73 ₹/L,  0.00
Guntur,109.31 ₹/L,- 0.27,97.17 ₹/L,  0.00
Krishna,110.24 ₹/L,  0.00,98.04 ₹/L,  0.00
Kurnool,109.85 ₹/L,  0.00,97.67 ₹/L,  0.00
Nellore,110.17 ₹/L,- 0.49,97.92 ₹/L,  0.00
Prakasam,109.07 ₹/L,- 0.57,96.93 ₹/L,  0.00
Srikakulam,109.42 ₹/L,  0.00,97.22 ₹/L,  0.00
Vishakhapatnam,108.29 ₹/L,  0.00,96.17 ₹/L,  0.00
Vizianagaram,108.74 ₹/L,+ 0.05,96.59 ₹/L,  0.00
West Godavari,109.96 ₹/L,  0.00,97.75 ₹/L,  0.00
