City,Price(P),Change(P),Price(D),Change(D)
Ahmedabad,94.59 ₹/L,- 0.41,90.67 ₹/L,  0.00
Amreli,95.97 ₹/L,  0.00,91.66 ₹/L,  0.00
Anand,94.61 ₹/L,+ 0.33,90.28 ₹/L,  0.00
Bharuch,95.01 ₹/L,  0.00,90.68 ₹/L,+ 0.14
Bhavnagar,95.78 ₹/L,  0.00,91.46 ₹/L,  0.00
Botad,95.71 ₹/L,  0.00,91.39 ₹/L,  0.00
Dahod,94.98 ₹/L,  0.00,90.65 ₹/L,  0.00
Devbhumi Dwarka,94.79 ₹/L,+ 0.40,90.46 ₹/L,  0.00
Gir Somnath,95.83 ₹/L,  0.00,91.44 ₹/L,- 0.09
Jamnagar,94.05 ₹/L,  0.00,89.72 ₹/L,- 0.33
Junagadh,95.74 ₹/L,  0.00,91.44 ₹/L,  0.00
Kheda,94.45 ₹/L,  0.00,90.12 ₹/L,  0.00
Kutch,94.61 ₹/L,- 0.22,90.50 ₹/L,  0.00
Mehsana,94.54 ₹/L,- 0.19,90.23 ₹/L,  0.00
Morbi,94.79 ₹/L,  0.00,90.48 ₹/L,  0.00
Narmada,95.00 ₹/L,  0.00,90.48 ₹/L,- 0.20
Navsari,94.55 ₹/L,  0.00,90.24 ₹/L,- 0.59
Patan,95.21 ₹/L,+ 0.97,90.90 ₹/L,+ 0.97
Rajkot,94.22 ₹/L,  0.00,90.80 ₹/L,  0.00
Surat,94.53 ₹/L,  0.00,89.95 ₹/L,  0.00
Surendranagar,95.17 ₹/L,  0.00,90.89 ₹/L,  0.00
Tapi,95.00 ₹/L,  0.00,90.70 ₹/L,+ 0.26
The Dangs,95.26 ₹/L,  0.00,91.46 ₹/L,+ 0.50
Vadodara,94.23 ₹/L,+ 0.14,89.91 ₹/L,+ 0.15
Valsad,95.01 ₹/L,- 0.39,90.71 ₹/L,- 0.39
