City,Price(P),Change(P),Price(D),Change(D)
Agra,94.42 ₹/L,  0.00,87.47 ₹/L,  0.00
Aligarh,95.05 ₹/L,  0.00,88.18 ₹/L,  0.00
Allahabad,95.00 ₹/L,  0.00,88.18 ₹/L,  0.00
Ambedkarnagar,95.26 ₹/L,  0.00,88.43 ₹/L,  0.00
Amroha,94.97 ₹/L,  0.00,88.12 ₹/L,  0.00
Auraiya,95.15 ₹/L,  0.00,88.31 ₹/L,  0.00
Azamgarh,95.46 ₹/L,  0.00,88.61 ₹/L,  0.00
Bahraich,95.69 ₹/L,  0.00,88.85 ₹/L,  0.00
Ballia,95.45 ₹/L,  0.00,88.60 ₹/L,  0.00
Balrampur,102.59 ₹/L,  0.00,95.51 ₹/L,  0.00
Banda,95.85 ₹/L,  0.00,88.99 ₹/L,  0.00
Barabanki,94.85 ₹/L,  0.00,88.00 ₹/L,  0.00
Bareilly,94.62 ₹/L,  0.00,87.72 ₹/L,  0.00
Basti,95.33 ₹/L,  0.00,88.48 ₹/L,  0.00
Bijnor,94.40 ₹/L,  0.00,87.46 ₹/L,  0.00
Budaun,94.73 ₹/L,  0.00,87.85 ₹/L,  0.00
Bulandshahr,95.31 ₹/L,  0.00,88.43 ₹/L,  0.00
Chandauli,94.69 ₹/L,  0.00,87.81 ₹/L,  0.00
Chitrakut,95.50 ₹/L,  0.00,88.66 ₹/L,  0.00
Deoria,94.46 ₹/L,  0.00,87.54 ₹/L,  0.00
Etah,94.59 ₹/L,  0.00,87.67 ₹/L,  0.00
Etawah,95.15 ₹/L,  0.00,88.29 ₹/L,  0.00
Faizabad,95.29 ₹/L,  0.00,88.45 ₹/L,  0.00
Fatehpur,95.57 ₹/L,  0.00,88.72 ₹/L,  0.00
Firozabad,94.25 ₹/L,  0.00,87.27 ₹/L,  0.00
Gautam Budh Nagar,94.66 ₹/L,  0.00,87.76 ₹/L,  0.00
Ghaziabad,94.65 ₹/L,  0.00,87.75 ₹/L,  0.00
Ghazipur,94.84 ₹/L,  0.00,87.99 ₹/L,  0.00
Gonda,94.57 ₹/L,  0.00,87.68 ₹/L,  0.00
Gorakhpur,94.87 ₹/L,  0.00,88.01 ₹/L,  0.00
Hamirpur,95.21 ₹/L,  0.00,87.37 ₹/L,  0.00
Hardoi,94.89 ₹/L,  0.00,88.04 ₹/L,  0.00
Hathras,94.57 ₹/L,  0.00,87.64 ₹/L,  0.00
Jalaun,95.52 ₹/L,  0.00,88.65 ₹/L,  0.00
Jaunpur,95.81 ₹/L,  0.00,88.96 ₹/L,  0.00
Jhansi,94.81 ₹/L,  0.00,87.93 ₹/L,  0.00
Kanpur Rural,94.75 ₹/L,  0.00,87.87 ₹/L,  0.00
Kanpur Urban,94.39 ₹/L,  0.00,87.45 ₹/L,  0.00
Kaushambi,94.68 ₹/L,  0.00,87.81 ₹/L,  0.00
Kushinagar,94.69 ₹/L,  0.00,87.81 ₹/L,  0.00
Lalitpur,95.75 ₹/L,  0.00,88.87 ₹/L,  0.00
Lucknow,94.65 ₹/L,  0.00,87.76 ₹/L,  0.00
Maharajganj,94.83 ₹/L,  0.00,87.96 ₹/L,  0.00
Mahoba,95.49 ₹/L,  0.00,88.63 ₹/L,  0.00
Mainpuri,95.03 ₹/L,  0.00,88.17 ₹/L,  0.00
Mathura,94.16 ₹/L,  0.00,87.15 ₹/L,  0.00
Meerut,94.54 ₹/L,  0.00,87.62 ₹/L,  0.00
Mirzapur,94.78 ₹/L,  0.00,87.92 ₹/L,  0.00
Moradabad,95.26 ₹/L,  0.00,88.41 ₹/L,  0.00
Muzaffarnagar,94.71 ₹/L,  0.00,87.82 ₹/L,  0.00
Pilibhit,95.41 ₹/L,  0.00,88.56 ₹/L,  0.00
Pratapgarh,105.92 ₹/L,  0.00,91.30 ₹/L,  0.00
Rampur,94.62 ₹/L,  0.00,87.72 ₹/L,  0.00
Saharanpur,95.08 ₹/L,  0.00,88.23 ₹/L,  0.00
Sambhal,95.21 ₹/L,  0.00,88.37 ₹/L,  0.00
Sant Kabir Nagar,95.06 ₹/L,  0.00,88.22 ₹/L,  0.00
Shahjahanpur,94.77 ₹/L,  0.00,87.90 ₹/L,  0.00
Shamli,95.24 ₹/L,  0.00,88.39 ₹/L,  0.00
Shravasti,95.62 ₹/L,  0.00,88.79 ₹/L,  0.00
Sitapur,94.96 ₹/L,  0.00,88.13 ₹/L,  0.00
Sonbhadra,95.54 ₹/L,  0.00,88.71 ₹/L,  0.00
Sultanpur,96.30 ₹/L,  0.00,89.45 ₹/L,  0.00
Unnao,94.76 ₹/L,  0.00,87.88 ₹/L,  0.00
Varanasi,95.37 ₹/L,  0.00,88.54 ₹/L,  0.00
